Timetable Code,Timetable Name,Trackernet Code,Trackernet Name,ATCO Code,NaPTAN Name
ACT,Acton Town,ACT,Acton Town,9400ZZLUACT,Acton Town Underground Station
ACW,Acton Works,,,,
AGR,Arnos Grove (& Sidings),AGR,Arnos Grove,9400ZZLUASG,Arnos Grove Underground Station
ALC,Aldgate (to/from Tower Hill),ALD,Aldgate,9400ZZLUALD,Aldgate Underground Station
ALD,Aldgate (to/from Liverpool Street),ALD,Aldgate,9400ZZLUALD,Aldgate Underground Station
ALE,Aldgate East,ALE,Aldgate East,9400ZZLUADE,Aldgate East Underground Station
ALP,Alperton,ALP,Alperton,9400ZZLUALP,Alperton Underground Station
AME,Amersham,AME,Amersham,9400ZZLUAMS,Amersham Underground Station
ANG,Angel,ANG,Angel,9400ZZLUAGL,Angel Underground Station
ANJ,Aldgate North Junction,,,,
ARC,Archway,ARC,Archway,9400ZZLUACY,Archway Underground Station
ARL,Arsenal,ARL,Arsenal,9400ZZLUASL,Arsenal Underground Station
AWY,Aldwych,AWY,Aldwych,,
AYL,Aylesbury,,,9100AYLSBRY,Aylesbury Rail Station
BAL,Balham,BAL,Balham,9400ZZLUBLM,Balham Underground Station
BAR,Barbican,BAR,Barbican,9400ZZLUBBN,Barbican Underground Station
BAY,Bayswater,BAY,Bayswater,9400ZZLUBWT,Bayswater Underground Station
BBB,Bromley by Bow,BBB,Bromley-by-Bow,9400ZZLUBBB,Bromley-by-Bow Underground Station
BCT,Barons Court,BCT,Barons Court,9400ZZLUBSC,Barons Court Underground Station
BDE,Barkingside,BDE,Barkingside,9400ZZLUBKE,Barkingside Underground Station
BDS,Bond Street,BDS,Bond Street,9400ZZLUBND,Bond Street Underground Station
BEC,Becontree,BEC,Becontree,9400ZZLUBEC,Becontree Underground Station
BER,Bermondsey,BER,Bermondsey,9400ZZLUBMY,Bermondsey Underground Station
BGR,Bounds Green,BGR,Bounds Green,9400ZZLUBDS,Bounds Green Underground Station
BHL,Buckhurst Hill,BHL,Buckhurst Hill,9400ZZLUBKH,Buckhurst Hill Underground Station
BHR,Blackhorse Road,BHR,Blackhorse Road,9400ZZLUBLR,Blackhorse Road Underground Station
BKG,Barking (& Sidings),BKG,Barking,9400ZZLUBKG,Barking Underground Station
BLF,Blackfriars,BLF,Blackfriars,9400ZZLUBKF,Blackfriars Underground Station
BMS,British Museum,,,,
BNG,Bethnal Green,BNG,Bethnal Green,9400ZZLUBLG,Bethnal Green Underground Station
BNK,Bank,BNK,Bank,9400ZZLUBNK,Bank Underground Station
BOR,Borough,BOR,Borough,9400ZZLUBOR,Borough Underground Station
BOS,Boston Manor,BOS,Boston Manor,9400ZZLUBOS,Boston Manor Underground Station
BPK,Belsize Park,BPK,Belsize Park,9400ZZLUBZP,Belsize Park Underground Station
BRX,Brixton,BRX,Brixton,9400ZZLUBXN,Brixton Underground Station
BST,Baker Street,BST,Baker Street,9400ZZLUBST,Baker Street Underground Station
BSY,Bushey,BSY,Bushey,9100BUSHEY,Bushey Rail Station
BSY,Bushey,BSY,Bushey,9100BUSHYDC,Bushey Rail Station
BTX,Brent Cross,BTX,Brent Cross,9400ZZLUBTX,Brent Cross Underground Station
BUR,Burnt Oak,BUR,Burnt Oak,9400ZZLUBTK,Burnt Oak Underground Station
BWR,Bow Road,BWR,Bow Road,9400ZZLUBWR,Bow Road Underground Station
